Open time,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
1633708800000,54349.04,54546.50,54070.87,54329.37,9861.344,535633699.24166,116122,4906.080,266500926.45467
1633712400000,54329.37,54469.40,54175.99,54339.92,6394.581,347221621.48947,77944,2909.470,157999531.78884
1633716000000,54339.92,54695.00,54260.01,54531.85,6631.039,361575127.56336,89921,3731.825,203497904.96780
1633719600000,54531.85,54734.24,54281.57,54711.80,6384.965,348336900.76911,79049,3135.471,171084880.29323
1633723200000,54713.17,54798.53,53768.00,54018.59,11921.697,646997125.74476,126332,5023.914,272728855.94920
1633726800000,54018.59,54350.00,53901.00,54191.43,6899.481,373355460.75102,95947,3464.066,187448520.20288
1633730400000,54191.43,54292.07,54060.54,54094.80,4099.828,222075751.11198,61288,2100.321,113779221.16309
1633734000000,54094.79,54162.00,53800.00,53975.00,5618.790,303184647.00052,75540,2713.578,146442052.67237
1633737600000,53974.99,54329.29,53656.66,54294.74,8491.641,459020655.31706,104307,4131.509,223438347.44259
1633741200000,54294.75,54349.99,53880.00,54041.32,5344.677,288952660.94278,74471,2524.085,136462857.25851
1633744800000,54041.32,54233.98,53882.92,54181.22,5106.244,276120133.11894,67077,2508.494,135664126.45894
1633748400000,54181.23,54737.26,54128.05,54587.26,8494.363,463010133.24118,96352,4434.965,241734658.47073
1633752000000,54587.26,54772.71,54506.00,54714.83,5468.341,298881833.53872,66912,2616.973,143041361.86007
1633755600000,54714.82,54779.17,54400.81,54625.68,5267.399,287322462.18839,72274,2367.826,129161878.97379
1633759200000,54625.67,55206.27,54615.05,54877.00,12694.977,697315071.64720,138542,6802.707,373732691.44474
1633762800000,54876.99,55096.00,54744.63,54943.45,6003.081,329585499.45671,78727,2967.840,162955064.03334
1633766400000,54943.46,55087.82,54540.89,54764.07,8231.733,451034001.35036,102513,3784.978,207379888.03506
1633770000000,54764.09,54956.95,54509.02,54938.25,5940.967,325172291.89983,82620,2939.851,160934830.44928
1633773600000,54938.26,55069.27,54604.00,54923.99,7446.515,408335059.38959,93873,3666.485,201059554.70335
1633777200000,54923.99,55434.52,54808.00,54820.00,15605.873,859692065.28602,164360,7877.090,434022590.95494
1633780800000,54820.01,55196.71,54820.01,55011.36,7402.083,407472627.60215,95495,3484.118,191800943.35904
1633784400000,55011.36,55589.00,54950.00,55274.69,12418.029,686241581.76752,133739,6486.695,358505153.10020
1633788000000,55274.69,55351.56,55086.68,55178.87,6629.212,365970255.67551,94583,3199.786,176653891.85300
1633791600000,55178.79,55219.54,54906.84,55016.38,5525.886,304299188.99510,83004,2471.143,136096431.02107
1633795200000,55016.38,55179.65,54672.94,54849.59,9748.361,535349530.50501,117724,4691.437,257714391.10363
1633798800000,54849.60,54981.99,54756.00,54947.56,4093.552,224688619.03709,64924,2000.249,109801705.30833
1633802400000,54947.56,55147.99,54777.38,54925.66,4196.047,230424730.25716,62983,2167.327,119039533.96944
1633806000000,54925.67,54986.00,54600.00,54680.44,4008.970,219650560.31686,61383,1714.299,93960913.51908
1633809600000,54680.44,54695.00,54342.36,54690.34,7481.576,407704324.59861,97112,3799.433,207074518.36140
1633813200000,54690.34,54877.10,54573.99,54860.45,3289.080,179990746.62996,54681,1849.338,101223515.57573
1633816800000,54860.44,55006.05,54780.13,54926.83,3928.306,215600071.34897,62062,1874.027,102857220.13786
1633820400000,54926.83,55188.61,54877.22,54960.77,4678.480,257409362.55091,72657,2457.038,135202146.46577
1633824000000,54960.79,55237.95,54826.25,54929.14,7586.603,417461693.50409,96190,3758.327,206843121.26538
